"band_name","band_url","band_start_time","band_end_time","band_stage","band_day","band_img","band_website_url"
"BRANDI CARLILE","http://lineup.sfoutsidelands.com/band/brandi-carlile","3:55 PM","4:45 PM","Sutro","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67374/custom1fb0c662762d747f51454d109bf2f058.jpg","http://brandicarlile.com/"
"JASON ISBELL","http://lineup.sfoutsidelands.com/band/jason-isbell","5:15 PM","6:05 PM","Sutro","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67452/custom95c540f864715bceb044ca4a92c6fecc.jpg","http://jasonisbell.com/"
"RYAN ADAMS AND THE SHINING","http://lineup.sfoutsidelands.com/band/ryan-adams","6:35 PM","7:50 PM","Sutro","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67426/customc8376edbe80d49d185a3d2b9daa61b15.jpg","http://paxamrecords.com/"
"NATALIA LAFOURCADE","http://lineup.sfoutsidelands.com/band/natalie-lafourcade","12:40 PM","1:20 PM","Twin Peaks","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/70942/custom0871a0b7aa8d9a8c9c870c64a6a45b21.png","http://www.lafourcade.com.mx/en/"
"SNAKEHIPS","http://lineup.sfoutsidelands.com/band/snakehips","2:00 PM","2:45 PM","Twin Peaks","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67428/custome3f59d6c6aded8cd7d46d5005e13b8cb.jpg","http://www.snakehips.biz/"
"GRIZ","http://lineup.sfoutsidelands.com/band/griz","3:30 PM","4:20 PM","Twin Peaks","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67382/customd8f40212177e4c149f4de193dfdf0ca5.jpg","http://mynameisgriz.com/"
"KEHLANI","http://lineup.sfoutsidelands.com/band/kehlani","5:05 PM","5:55 PM","Twin Peaks","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67394/custom2b8f35e04824a51d182f9630610d1eba.jpg","http://www.kehlanimusic.com/"
"MIGUEL","http://lineup.sfoutsidelands.com/band/miguel","6:40 PM","7:40 PM","Twin Peaks","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67460/custom4912d719d0291934562c3c76fcd4d561.jpg","http://www.officialmiguel.com/"
"LANA DEL REY","http://lineup.sfoutsidelands.com/band/lana-del-rey","8:25 PM","9:35 PM","Twin Peaks","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67398/customfad0dc26037ecdfd2d104fa8fc7af311.jpg","http://lanadelrey.com/"
"HERON OBLIVION","http://lineup.sfoutsidelands.com/band/heron-oblivion","12:00 PM","12:40 PM","Panhandle","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67454/custombb9b9880a1c419e66bab450e4b8facc6.jpg","https://soundcloud.com/heron-oblivion"
"CLOVES","http://lineup.sfoutsidelands.com/band/cloves","1:20 PM","2:00 PM","Panhandle","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67470/customa1f4187f41f14d7aa31864292378af13.jpg","http://instagram.com/clovesdot"
"HÆLOS","http://lineup.sfoutsidelands.com/band/h%C3%86los","2:45 PM","3:25 PM","Panhandle","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67484/custom4f9511ae0de7857b002bacf9a105cfb0.jpg","http://www.haelos.com/"
"DIIV","http://lineup.sfoutsidelands.com/band/diiv","4:20 PM","5:00 PM","Panhandle","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67378/custom45a8ebda2f6baf48f3ed4a911ae8e045.jpg","http://www.diiv.net/"
"RÜFÜS DU SOL","http://lineup.sfoutsidelands.com/band/rufus-du-sol","5:55 PM","6:35 PM","Panhandle","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67424/custom84a872bdc5f596b047a7a68dcf054fd6.jpg","http://www.rufussounds.com/"
"LETTUCE","http://lineup.sfoutsidelands.com/band/lettuce","7:40 PM","8:30 PM","Panhandle","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67402/custom12a7c5db2abeb476403be2f30a083359.jpg","http://lettucefunk.com/"
"Grensta","http://lineup.sfoutsidelands.com/band/grensta","12:00 PM","1:30 PM","The House by Heineken","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/71045/customf6af626795e86402efb5c50ae95177eb.jpg","http://www.thegrensta.com/"
"Derek Hena","http://lineup.sfoutsidelands.com/band/derek-hena","1:30 PM","3:00 PM","The House by Heineken","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/71051/custom1bea47320ae4b8e9d929ea854297f72f.png","http://www.pinkmammoth.org/participants/derekhena/"
"Deckard","http://lineup.sfoutsidelands.com/band/deckard","3:00 PM","4:30 PM","The House by Heineken","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/71049/custom19c3a274e0fb2e4a2d9f933eb57d1717.jpg","http://www.deckard-dj.com/"
"GINA TURNER","http://lineup.sfoutsidelands.com/band/gina-turner","4:30 PM","6:00 PM","The House by Heineken","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/71043/custombf59975f6497273dad7ed28022ff1153.jpg","https://www.youtube.com/user/djginaturnerTV"
"Lee K","http://lineup.sfoutsidelands.com/band/lee-k","6:00 PM","8:00 PM","The House by Heineken","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/71039/custom5e5082d112f7953b39ca6c42bc0633bd.jpg","http://residentadvisor.net/dj/leek"
"Jo Firestone's Friends of Single People","http://lineup.sfoutsidelands.com/band/jo-firestones-friends-of-single-people","12:30 PM","1:15 PM","The Barbary","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/70694/custom1483054e1f99eb3765af04c74a7b9948.png","http://www.jofirestone.com/"
"Sasheer Zamata & Nicole Byer","http://lineup.sfoutsidelands.com/band/zamata-and-byer","1:45 PM","2:30 PM","The Barbary","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/70835/customce55290000fffe75d0da20d03640fd91.jpg","http://sasheer.com/"
"Spontaneanation with Paul F. Tompkins feat. Eban Schletter and guests: Craig Cackowski, Tawny Newsome, Janet Varney","http://lineup.sfoutsidelands.com/band/craig-cackowski-tawny-newsome-janet-varney","3:25 PM","4:15 PM","The Barbary","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/70863/customa87317d8f0e04ca987df6b7298e753a8.jpg","http://paulftompkins.com/"
"FRED ARMISEN & FRIENDS FEAT. BOB MOULD & CHARLYNE YI","http://lineup.sfoutsidelands.com/band/fred-armisen","4:45 PM","5:35 PM","The Barbary","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/70700/customce8389b638503297565a542aeacf009a.png","http://fredarmisen.com/"
"JASH PRESENTS POUND HOUSE LIVE HOSTED BY BRENT WEINBACH & DJ DOUGGPOUND WITH ESTHER POVITSKY & JOHNNY PEMBERTON AND SPECIAL GUEST NATASHA LEGGERO","http://lineup.sfoutsidelands.com/band/jash-birthday-party","6:05 PM","6:55 PM","The Barbary","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/70831/customc3b8cdf3a4d13c1c4c894e25b770f578.jpg","http://jash.com/"
